Week1,Week2,Week3,Week4,HB,HDA,HDS,HTA,HBM,HBP,HMG,HGP,Inflasi,Target
12,9,18,12,13.6,33.35,129.4,21.35,23,24.25,12.95,13.8,0.03,25
9,18,12,25,13.6,35.25,129.4,21.6,23.5,24.25,12.95,13.7,0.03,20
18,12,25,20,13.6,33.9,129.4,22.25,23,23.6,12.95,13.7,0.03,27
12,25,20,27,13.6,32.85,129.4,22.25,21.9,22.65,13.05,13.7,0.03,16
25,20,27,16,13.6,31.95,129.4,22,21.5,22.25,13.1,13.6,0.11,16
20,27,16,16,13.6,31.2,129.4,21.5,19.45,19.9,13.1,13.5,0.11,23
27,16,16,23,13.6,32.75,129.4,21.95,20,20.5,13.1,13.45,0.11,17
16,16,23,17,13.6,34.45,129.4,21.5,18.35,19.6,13.15,13.4,0.11,26
16,23,17,26,13.6,30.9,129.4,21.3,19.2,19.05,13.15,13.35,0.11,13
23,17,26,13,13.6,32.15,129.4,21.5,19,19.25,13.15,13.15,-0.4,15
17,26,13,15,13.6,32,129.4,21.25,18.85,19.35,13.1,13.15,-0.4,14
26,13,15,14,13.6,33.55,129.4,21.4,21.25,20.5,13.1,13.15,-0.4,13
13,15,14,13,13.6,34.35,129.4,23.2,22,21.4,13.1,13.15,-0.4,24
15,14,13,24,13.6,33.65,129.4,23.7,22.05,21.25,13.1,13.15,0.05,30
14,13,24,30,13.6,34.3,129.4,24.55,21.9,20.65,13.1,13.1,0.05,21
13,24,30,21,13.6,35,129.4,24.95,22.75,20.25,13.1,13.1,0.05,25
24,30,21,25,13.25,37.8,129.4,26.25,22.75,20.5,13.1,13.05,0.05,10
30,21,25,10,13.3,36.6,128.95,26.2,21.4,20,13.05,13.2,0.75,27
21,25,10,27,13.3,36.75,129.4,26.25,21,20.5,13,13.05,0.75,26
25,10,27,26,13.25,38.35,129.4,25.3,21,20.3,13,13,0.75,16
10,27,26,16,12.9,35.6,129.4,24.3,20.5,20,12.95,12.7,0.75,20
27,26,16,20,12.9,35.8,128.15,23.4,20.3,20,12.95,12.65,0.75,18
26,16,20,18,12.9,35.65,128.15,22.6,19.5,20,12.9,12.65,0.94,20
16,20,18,20,12.6,35.5,128.15,22.25,19.1,21.05,12.9,12.65,0.94,23
20,18,20,23,12.6,35.7,128.15,22.65,19.25,27.4,12.9,12.6,0.94,29
18,20,23,29,12.6,35.1,128.15,23.25,21.35,28.35,12.9,12.6,0.94,22
20,23,29,22,12.6,33.55,128.15,23.25,20.5,28.45,12.95,12.5,-0.14,22
23,29,22,22,12.6,32.7,128.15,22.75,21.95,28.3,13,12.5,-0.14,19
29,22,22,19,12.6,34.95,128.15,22.25,24.5,29.8,12.95,12.5,-0.14,20
22,22,19,20,12.6,32.8,128.15,22.25,22.75,29.5,12.9,12.5,-0.14,18
22,19,20,18,12.6,34.25,128.15,22.25,26.65,31,12.9,12.5,0.32,32
19,20,18,32,12.6,34.65,128.15,22,32.75,30.75,12.9,12.55,0.32,26
20,18,32,26,12.6,34,128.15,22.45,37.8,32.5,13,12.6,0.32,30
18,32,26,30,12.6,36.05,128.15,24.25,37.6,32.3,12.9,12.65,0.32,26
32,26,30,26,12.6,37.3,128.15,24.25,37.5,30.25,12.9,12.65,0.08,12
26,30,26,12,12.6,37.4,128.15,24.25,37.9,26.9,12.9,12.6,0.08,30
30,26,12,30,12.6,37.7,128.15,25.65,35.25,23.9,12.9,12.6,0.08,21
26,12,30,21,12.6,39.25,128.15,26.25,33.25,23.35,12.9,12.6,0.08,31
12,30,21,31,12.6,38.75,128.15,25.7,32.85,23.25,12.9,12.5,0.08,17
30,21,31,17,12.6,38.75,128.15,24,33.75,24.75,12.9,12.5,0.14,16
21,31,17,16,12.6,41.15,128.15,23,31.25,26,12.85,12.5,0.14,7
31,17,16,7,12.6,43,128.55,23,31.25,26,12.85,12.5,0.14,17
17,16,7,17,12.6,45.3,129.4,23.45,31.25,26,12.85,12.5,0.14,13
16,7,17,13,12.6,40.95,129.4,23.4,30.9,25.5,12.85,12.5,0.98,22
7,17,13,22,12.6,38.7,129.4,26.5,29.5,25.8,12.85,12.5,0.98,24
17,13,22,24,12.6,41,129.4,28.05,28,25.25,12.85,12.5,0.98,22
13,22,24,22,12.6,39.8,129.4,28.65,24.75,24.55,12.85,12.4,0.98,36
22,24,22,36,12.6,49.5,129.4,27.3,23.45,23.45,12.85,12.4,0.98,34
24,22,36,34,12.6,45.25,129.4,26.15,22.85,23.35,12.85,12.4,-0.12,28
